ts,price,alpha
2026-05-14 17:05:47.980,324.673,73
2026-05-14 17:05:48.617,324.673,193
2026-05-14 17:05:49.254,324.673,149
2026-05-14 17:05:49.891,324.673,165
2026-05-14 17:05:50.528,324.673,183
2026-05-14 17:05:51.165,324.673,239
2026-05-14 17:05:51.801,324.673,239
2026-05-14 17:05:52.438,324.673,202
2026-05-14 17:05:53.075,324.673,92
2026-05-14 17:05:53.712,324.673,22
2026-05-14 17:05:47.343,324.789,73
2026-05-14 17:05:47.980,324.789,252
2026-05-14 17:05:48.617,324.789,253
2026-05-14 17:05:49.254,324.789,253
2026-05-14 17:05:49.891,324.789,253
2026-05-14 17:05:50.528,324.789,253
2026-05-14 17:05:51.165,324.789,253
2026-05-14 17:05:51.801,324.789,253
2026-05-14 17:05:52.438,324.789,253
2026-05-14 17:05:53.075,324.789,251
2026-05-14 17:05:53.712,324.789,210
2026-05-14 17:05:54.349,324.789,22
2026-05-14 17:05:47.343,324.906,224
2026-05-14 17:05:47.980,324.906,253
2026-05-14 17:05:48.617,324.906,253
2026-05-14 17:05:49.254,324.906,253
2026-05-14 17:05:49.891,324.906,253
2026-05-14 17:05:50.528,324.906,253
2026-05-14 17:05:51.165,324.906,253
2026-05-14 17:05:51.801,324.906,253
2026-05-14 17:05:52.438,324.906,253
2026-05-14 17:05:53.075,324.906,253
2026-05-14 17:05:53.712,324.906,245
2026-05-14 17:05:54.349,324.906,94
2026-05-14 17:05:47.343,325.022,239
2026-05-14 17:05:47.980,325.022,253
2026-05-14 17:05:48.617,325.022,253
2026-05-14 17:05:49.254,325.022,253
2026-05-14 17:05:49.891,325.022,253
2026-05-14 17:05:50.528,325.022,253
2026-05-14 17:05:51.165,325.022,253
2026-05-14 17:05:51.801,325.022,253
2026-05-14 17:05:52.438,325.022,253
2026-05-14 17:05:53.075,325.022,253
2026-05-14 17:05:53.712,325.022,249
2026-05-14 17:05:54.349,325.022,78
2026-05-14 17:05:47.343,325.138,183
2026-05-14 17:05:47.980,325.138,253
2026-05-14 17:05:48.617,325.138,253
2026-05-14 17:05:49.254,325.138,253
2026-05-14 17:05:49.891,325.138,253
2026-05-14 17:05:50.528,325.138,253
2026-05-14 17:05:51.165,325.138,253
2026-05-14 17:05:51.801,325.138,253
2026-05-14 17:05:52.438,325.138,253
2026-05-14 17:05:53.075,325.138,252
2026-05-14 17:05:53.712,325.138,216
2026-05-14 17:05:54.349,325.138,43
2026-05-14 17:05:47.343,325.255,132
2026-05-14 17:05:47.980,325.255,253
2026-05-14 17:05:48.617,325.255,253
2026-05-14 17:05:49.254,325.255,253
2026-05-14 17:05:49.891,325.255,244
2026-05-14 17:05:50.528,325.255,227
2026-05-14 17:05:51.165,325.255,247
2026-05-14 17:05:51.801,325.255,244
2026-05-14 17:05:52.438,325.255,240
2026-05-14 17:05:53.075,325.255,202
2026-05-14 17:05:53.712,325.255,149
2026-05-14 17:05:54.349,325.255,21
2026-05-14 17:05:47.343,325.371,196
2026-05-14 17:05:47.980,325.371,253
2026-05-14 17:05:48.617,325.371,253
2026-05-14 17:05:49.254,325.371,253
2026-05-14 17:05:49.891,325.371,242
2026-05-14 17:05:50.528,325.371,208
2026-05-14 17:05:51.165,325.371,215
2026-05-14 17:05:51.801,325.371,204
2026-05-14 17:05:52.438,325.371,178
2026-05-14 17:05:53.075,325.371,134
2026-05-14 17:05:53.712,325.371,65
2026-05-14 17:05:46.706,325.488,45
2026-05-14 17:05:47.343,325.488,239
2026-05-14 17:05:47.980,325.488,253
2026-05-14 17:05:48.617,325.488,253
