seg,ts,price
0,2026-05-14 16:59,385.0
0,2026-05-14 17:00,385.0
0,2026-05-14 17:27,324.99
0,2026-05-14 17:30,328.34
0,2026-05-14 17:36,341.19
0,2026-05-14 17:51,317.0
0,2026-05-14 18:00,301.148
0,2026-05-14 18:18,308.66
0,2026-05-14 18:47,325.795
0,2026-05-14 18:48,324.607
0,2026-05-14 18:59,317.63
0,2026-05-14 19:09,328.675
0,2026-05-14 19:19,329.5
0,2026-05-14 19:25,325.16
0,2026-05-14 19:50,308.715
0,2026-05-14 19:53,313.18
0,2026-05-14 19:54,317.25
0,2026-05-14 19:58,309.485
0,2026-05-14 20:00,313.7
1,2026-05-15 13:30,292.0
1,2026-05-15 13:36,303.11
1,2026-05-15 13:51,276.35
1,2026-05-15 13:53,278.75
1,2026-05-15 13:54,278.7
1,2026-05-15 13:55,278.98
1,2026-05-15 14:26,299.7
1,2026-05-15 14:48,294.11
1,2026-05-15 14:53,295.0
1,2026-05-15 15:22,304.57
1,2026-05-15 15:07,294.71
1,2026-05-15 15:24,304.5
1,2026-05-15 15:52,289.7
1,2026-05-15 15:29,304.97
1,2026-05-15 15:54,291.04
1,2026-05-15 15:56,289.0
1,2026-05-15 16:04,297.74
1,2026-05-15 16:08,299.68
1,2026-05-15 16:29,297.25
1,2026-05-15 16:30,298.55
1,2026-05-15 16:35,298.12
1,2026-05-15 16:36,299.33
1,2026-05-15 16:42,299.69
1,2026-05-15 16:52,299.81
1,2026-05-15 16:54,299.02
1,2026-05-15 17:01,299.28
1,2026-05-15 17:25,298.01
1,2026-05-15 17:09,299.38
1,2026-05-15 17:27,298.61
1,2026-05-15 17:40,300.93
1,2026-05-15 17:32,296.38
1,2026-05-15 17:55,300.31
1,2026-05-15 18:22,298.68
1,2026-05-15 18:27,298.98
1,2026-05-15 18:28,299.24
1,2026-05-15 18:35,297.39
1,2026-05-15 18:49,297.915
1,2026-05-15 18:51,296.11
1,2026-05-15 19:14,288.2
1,2026-05-15 18:55,297.04
1,2026-05-15 19:21,294.71
1,2026-05-15 19:27,293.37
1,2026-05-15 19:45,296.635
1,2026-05-15 19:59,280.03
1,2026-05-15 20:00,280.3
