ts,price
2026-05-14 16:55:00.324,359.92
2026-05-14 16:55:00.692,359.83
2026-05-14 16:55:00.692,359.83
2026-05-14 16:55:20.823,359.92
2026-05-14 16:55:20.823,359.86
2026-05-14 16:55:20.823,359.83
2026-05-14 16:55:21.241,359.98
2026-05-14 16:55:21.649,359.83
2026-05-14 16:55:22.125,359.92
2026-05-14 16:55:22.125,359.8
2026-05-14 16:55:23.264,359.43
2026-05-14 16:55:23.264,359.43
2026-05-14 16:55:34.106,359.42
2026-05-14 16:55:34.314,359.0
2026-05-14 16:55:34.106,359.78
2026-05-14 16:55:35.123,359.0
2026-05-14 16:55:35.190,359.7
2026-05-14 16:55:35.818,359.0
2026-05-14 16:55:38.121,356.81
2026-05-14 16:55:38.249,357.6
2026-05-14 16:55:40.023,357.59
2026-05-14 16:55:40.023,357.59
2026-05-14 16:55:40.157,357.59
2026-05-14 16:55:40.157,357.59
2026-05-14 16:55:40.436,356.6
2026-05-14 16:55:40.566,357.59
2026-05-14 16:55:42.765,357.57
2026-05-14 16:55:42.765,357.57
2026-05-14 16:55:44.030,357.98
2026-05-14 16:55:44.030,357.98
2026-05-14 16:55:45.647,357.01
2026-05-14 16:55:45.647,357.01
2026-05-14 16:55:48.587,357.64
2026-05-14 16:55:48.587,357.64
2026-05-14 16:55:49.260,356.46
2026-05-14 16:55:48.989,358.36
2026-05-14 16:55:49.791,356.73
2026-05-14 16:55:49.791,358.01
2026-05-14 16:55:50.261,358.0
2026-05-14 16:55:51.064,357.61
2026-05-14 16:55:51.064,356.74
2026-05-14 16:55:51.387,358.01
2026-05-14 16:55:51.387,358.01
2026-05-14 16:55:54.598,357.35
2026-05-14 16:55:54.598,357.35
2026-05-14 16:55:54.801,357.35
2026-05-14 16:55:54.801,357.34
2026-05-14 16:55:54.801,356.74
2026-05-14 16:55:54.801,357.35
2026-05-14 16:55:54.801,356.74
2026-05-14 16:55:56.875,356.95
2026-05-14 16:55:56.875,356.74
2026-05-14 16:55:57.691,357.69
2026-05-14 16:55:57.819,356.73
2026-05-14 16:55:58.771,357.68
2026-05-14 16:55:58.771,357.68
2026-05-14 16:56:03.265,357.53
2026-05-14 16:56:03.265,357.53
2026-05-14 16:56:06.391,356.46
2026-05-14 16:56:06.391,356.46
2026-05-14 16:56:07.051,357.3
2026-05-14 16:56:07.625,356.78
2026-05-14 16:56:08.162,356.1
2026-05-14 16:56:08.515,356.79
2026-05-14 16:56:08.515,356.79
2026-05-14 16:56:08.840,356.12
2026-05-14 16:56:09.041,357.3
2026-05-14 16:56:09.518,358.2
2026-05-14 16:56:09.929,356.14
2026-05-14 16:56:09.929,356.14
2026-05-14 16:56:10.749,357.63
