bucket,hit,n,improvement,q1
<25,0.36363636363636365,33,-5.1431510372035305,0.53
25-50,0.8666666666666667,15,20.844714477052932,0.67
50-100,0.8333333333333334,24,41.98882284123407,0.89
100+,0.9493670886075949,79,174.60222871104267,0.88
