date,median,p25,p75,p90,depth_share_10,depth_share_25,n
2026-03-07,2.852279874797034,1.0537409726249405,6.309434642287322,11.415624390098086,0.5605071318090488,0.961754430550034,73.71428571428571
2026-03-08,3.0067460662474788,1.0667772221208325,7.303504518672767,13.463749122532606,0.551438607930726,0.9869722311234146,76.28571428571429
2026-03-09,3.2306877913143643,1.0913955531369186,7.5894153389759405,14.0596797603194,0.5364084919248627,0.9869722311234146,78.85714285714286
2026-03-10,3.3182888051952517,1.0520778581753896,7.897677094607635,14.564910371782092,0.5127986182848029,0.9869722311234146,81.42857142857143
2026-03-11,3.407661549142207,1.0631369269295872,8.137456115813704,14.572618771825333,0.4953941444780728,0.9869722311234146,84.0
2026-03-12,3.374213339485885,0.9577677915631247,7.948115602037914,14.290243665433204,0.5070271337370427,0.9869722311234146,84.0
2026-03-13,3.303589442143545,0.916399664324484,7.565917089194622,14.443841787700546,0.5156861500468716,0.9869722311234146,84.0
2026-03-14,3.5320094706927527,0.9641654883289372,7.374555703086679,13.39300004975998,0.5206520344778155,0.9873276000119882,84.0
2026-03-15,3.61316644301158,1.014006219240538,6.612839688941458,12.417004131041358,0.5029571017468094,0.9738522331351273,84.0
2026-03-16,3.3257495918275057,0.9332084754912296,6.2402979855416945,12.185986210641444,0.524875147702239,0.9738522331351273,84.0
2026-03-17,3.123876787404942,0.9253671181082826,5.89640742981742,11.83397237391564,0.5256715973015288,0.9738522331351273,84.0
2026-03-18,3.08746348164571,0.91569071815125,5.743966021301506,11.460334515613331,0.5251478701868524,0.9738522331351273,84.28571428571429
2026-03-19,3.0193820887836256,0.929538369782944,5.9475162632102965,11.797923563011434,0.5145885574115394,0.9738522331351273,85.14285714285714
2026-03-20,3.107591630019446,0.8996835695737921,6.130090272504336,11.727397388630363,0.5082808719412883,0.9738522331351273,86.0
2026-03-21,2.797138646191842,0.8338514103761339,5.652408503618768,10.659935094810791,0.5332010053275605,0.9865246331231392,86.85714285714286
2026-03-22,2.650981334436337,0.7927621110264841,5.4220862092879205,11.748238258899647,0.5527246681572545,1.0,87.71428571428571
2026-03-23,2.803213145141275,0.848360106246963,5.699985509116972,11.84109909230236,0.5369126037895314,1.0,88.57142857142857
