market,conversion,open,t_session,t_cross,session_pct,cross_pct
CBRS,2026-05-14,350.0,285.4348333333333,354.4853333333333,-18.44719047619049,1.281523809523799
QNT,2026-06-04,68.0,93.00811666666667,75.32638333333333,36.776642156862735,10.77409313725488
SPCX,2026-06-12,150.0,177.22,164.90833333333333,18.14666666666667,9.938888888888897
