date,mcap,buyback_usd,ann14,ann30,pe_14d,pe_30d
2026-01-01,6063552769.803161,705293.7019100001,382210160.0540357,519612031.75842667,15.864446850250955,11.66938484715876
2026-01-02,5758563694.105126,1898721.29416,380237896.87820005,517412682.553405,15.144633771077642,11.129537192028055
2026-01-03,5851000478.812292,1002009.44341,393361367.2446929,509359222.97921497,14.874364810646593,11.486982496537712
2026-01-04,6045207252.2810545,1024144.57979,404039528.08956426,497482488.10927665,14.961920386514759,12.151598089927477
2026-01-05,6374767611.896876,2086165.60609,412701419.0129536,514670266.4422567,15.446439770290176,12.386119866538069
2026-01-06,6350483511.163288,2374650.40529,437690575.85890716,522625185.3277183,14.509070702976283,12.151124150630327
2026-01-07,6717215599.757049,1865729.20819,463624574.18712145,524067251.4884067,14.488480494232697,12.817468713565754
2026-01-08,6405643684.175502,2091921.82547,499047830.7135821,520130392.94301176,12.835730945901826,12.315457375853324
2026-01-09,6117861684.036673,1786727.5738,513967935.37778217,514499886.43138504,11.903197189801066,11.890890251639668
2026-01-10,5983677516.481979,462563.82927,514484016.9901679,493917895.63713163,11.630443937768296,12.114721028205118
2026-01-11,5729198870.814605,812593.77959,523262223.3319965,482900341.537385,10.949001505082041,11.864143339751736
2026-01-12,5801930430.524801,1900776.6903,522245201.00463575,500675442.84885836,11.109590704450149,11.588206518601437
2026-01-13,5659564868.617833,2300107.22229,553683809.1850928,517066537.2053484,10.221654985627145,10.945525307452234
2026-01-14,6084337848.688689,2313856.0496,589872881.5245286,519839987.5387083,10.314659377057131,11.704251297589217
2026-01-15,6168831086.105328,1862422.02526,620040869.954725,524037884.19333327,9.949071722571725,11.771727335326506
2026-01-16,5882254789.574951,1117452.6713,599672080.8587321,510641428.118295,9.809118979078608,11.519345015250643
2026-01-17,5955195480.622095,515585.26332,586990307.5921001,487585775.54196495,10.14530462189567,12.213636613994188
2026-01-18,6059458782.081157,810327.80768,581415798.8906608,473423265.307735,10.42190252422205,12.799241664100267
2026-01-19,5878111735.859547,1716617.49025,571781151.5848321,488241949.38198507,10.280352403304857,12.039341853562643
2026-01-20,5653588019.414974,2517934.17806,575516764.23205,511399531.22187674,9.82349841182981,11.055129452127124
2026-01-21,4999616972.934559,2460042.18877,591011352.6543142,519990578.74206495,8.459426287634889,9.614822224336027
2026-01-22,5114753740.006268,1420236.25569,573499550.2993357,520040146.4500433,8.91849651379263,9.835305552698529
2026-01-23,5092254617.317615,1582594.46563,568177508.5506178,528697872.96873,8.962436106116924,9.631691137177693
2026-01-24,5374161608.603307,423383.1409,567156012.0323999,524928172.0188101,9.475631915361408,10.237899002324324
2026-01-25,5533434086.6491585,1354082.46714,581273395.6720964,526627038.7310733,9.519503434784134,10.507311018405295
2026-01-26,5279969665.367783,1686069.28544,575675666.9025321,541753859.8669217,9.17177843172888,9.746067460718734
2026-01-27,5927452209.949735,1379697.28389,551679264.9371035,552750115.4620917,10.744380995768472,10.723565756281143
2026-01-28,7323303129.953503,2162127.38796,547723481.9729179,555455271.8641866,13.37043849859189,13.18432554501726
2026-01-29,8123176271.096516,3327618.8155,585923255.4327463,582628013.3991216,13.863891210627862,13.942302951938291
2026-01-30,7335234564.416261,3218850.02998,640709686.5697607,610527007.2521484,11.448608813279739,12.014594730920397
2026-01-31,7276932612.148005,3149151.14895,709370511.4451143,640260606.1911349,10.258295904242756,11.365579174764417
2026-02-01,7369016589.268811,2372679.2042,750103244.2829571,646027094.0966216,9.824003089485426,11.406668012234608
2026-02-02,7325184148.842972,2661584.87108,774739893.8545963,666218595.1332732,9.455023817603703,10.995166154702737
2026-02-03,7974408629.557463,3033451.6154,788180169.8995321,690665164.0665284,10.117494621279226,11.545983559682368
2026-02-04,7769347128.324478,2965474.28382,801357506.6633357,701363419.6455766,9.695232232457911,11.077491227373393
2026-02-05,8477034218.151134,5253972.94262,901308498.8582965,736395177.1830916,9.405252728548708,11.511528701991308
2026-02-06,7870504189.635854,3769215.50472,958316833.0917143,759554260.4575399,8.21284142974312,10.362003874344438
2026-02-07,7732293136.717201,1633492.23558,989866105.9173,753976700.4472116,7.811453579928121,10.255347588500932
2026-02-08,7461082000.366362,1086013.17081,982877156.4058391,745451341.8775,7.591062577596026,10.008811549758322
2026-02-09,7721091091.507417,1554684.94924,979451779.0691965,758738815.5038017,7.883074242659511,10.176217340852164
2026-02-10,7479544527.564093,1355611.74984,978823834.7886072,765345534.1418433,7.641359212691649,9.772768238532494
2026-02-11,6875141213.963352,1718110.72878,967247686.1742716,763123098.2766832,7.107942786770998,9.009216507125897
2026-02-12,6996440973.904062,1356448.79049,915856467.6650819,751641920.6897833,7.639233024953185,9.308210174711137
2026-02-13,7366333695.7882185,1281749.07426,865353478.4623822,739084619.15648,8.512514110276891,9.966833979301914
2026-02-14,7538663281.608621,747336.20881,802734731.8087322,725517741.723005,9.39122599644145,10.390735950447374
2026-02-15,7598069310.85092,977878.89721,766370295.2336357,723819594.1382433,9.914357795580493,10.497186553642473
2026-02-16,7300350350.724132,853035.8019,719218837.3585857,727925242.3576334,10.150388131567176,10.028983645462638
2026-02-17,7387368042.462612,1341596.31751,675109752.8064535,734389009.2272316,10.942469741776177,10.059202887902757
2026-02-18,7054457875.917264,1175345.65712,628438542.181775,727803535.2574834,11.225374324474153,9.692805179108573
2026-02-19,6796578943.312958,1031950.35317,518364381.81397134,709724065.3879883,13.111585559812033,9.576368161614244
2026-02-20,6917240541.2157755,1339275.28559,455012368.95808214,696088068.0659649,15.202313196573837,9.93730658310934
2026-02-21,7223837513.276656,491477.94717,425238425.01025,684788175.312305,16.98773461759137,10.549010297939429
2026-02-22,7087813733.581125,506060.04028,410118218.39286065,671690339.8038801,17.282367414342865,10.552204361984158
2026-02-23,6905076796.773436,1728909.29203,414660495.9013143,687574241.3092949,16.652362269920175,10.042663587316225
2026-02-24,6258093067.37733,1524885.94513,419073715.9928035,689652350.2915066,14.933155739800194,9.074272080320062
2026-02-25,6479825937.121443,2068588.58332,428211174.3433107,694306335.08238,15.132313973493735,9.33280543429379
2026-02-26,6600693012.16694,1384956.1079,428954400.83292854,694370317.4411683,15.387866401067216,9.5060126367314
2026-02-27,6713409048.669518,1241030.22373,427892802.22982496,683163635.2763699,15.689464776422408,9.826941455912898
2026-02-28,6496420161.958986,1816154.84044,455758430.84017855,664774156.9131399,14.254086644064946,9.77237170609178
2026-03-01,7429068602.097599,1523583.69644,469985734.5343892,644148416.5217366,15.807008715823073,11.533162872949339
2026-03-02,7557036859.061385,1947703.98957,498525297.99864286,629530809.4159467,15.158783093655476,12.004236720475204
2026-03-03,7825159319.339844,1953548.30106,514479760.42691064,624431383.4277433,15.209848707841486,12.531656042629606
2026-03-04,7483355036.874255,2329772.04068,544577305.4268677,620394327.3245432,13.741584458809601,12.062255741676909
2026-03-05,7701035331.383111,1685907.83682,561626911.2506,603999211.35182,13.712012685138019,12.750075143554087
