date,usd_per_ph_day
2016-12-26,803.8664951069245
2017-01-02,831.1992062622852
2017-01-09,676.609323112527
2017-01-16,698.3679791253269
2017-01-23,622.2486116225359
2017-01-30,668.9713399699511
2017-02-06,657.9790156819104
2017-02-13,655.811496562267
2017-02-20,711.9070173505917
2017-02-27,780.1231117318373
2017-03-06,746.5013864100945
2017-03-13,703.553057680846
2017-03-20,600.6930951316363
2017-03-27,603.557914037266
2017-04-03,651.1339306817632
2017-04-10,656.358320217163
2017-04-17,654.9447392740915
2017-04-24,713.3195806555626
2017-05-01,833.8309480790291
2017-05-08,925.6108168378305
2017-05-15,1011.9072924107141
2017-05-22,1204.4824637896938
2017-05-29,1244.3450962301551
2017-06-05,1293.225030753972
2017-06-12,1158.4166453373095
2017-06-19,1124.0786170291897
2017-06-26,1036.0537725694394
2017-07-03,1017.7523311011907
2017-07-10,853.7834259282166
2017-07-17,856.8834102182481
2017-07-24,871.2162883504044
2017-07-31,898.4895942460313
2017-08-07,1086.658740327364
2017-08-14,1324.2531803075556
2017-08-21,1479.962424355159
2017-08-28,1547.5898048114864
2017-09-04,1361.1762817460403
2017-09-11,1116.8358833304337
2017-09-18,939.991272605498
2017-09-25,998.4351183586313
2017-10-02,1046.5848216766021
2017-10-09,1263.8896416170612
2017-10-16,1309.5234084821382
2017-10-23,1216.138817078922
2017-10-30,1360.543863343256
2017-11-06,1464.8814937995917
2017-11-13,1725.3118670634935
2017-11-20,1744.482238591245
2017-11-27,2148.8130835813395
2017-12-04,2750.6103373015944
2017-12-11,3486.7335277777966
2017-12-18,3292.936308283731
2017-12-25,2701.4480811011927
2018-01-01,2636.4874523177623
2018-01-08,2359.893088293666
2018-01-15,1703.9333625992113
2018-01-22,1294.9667822420702
2018-01-29,1014.1371164959434
2018-02-05,756.0541019345275
2018-02-12,869.2661416170658
2018-02-19,905.2015912698388
2018-02-26,919.3785724206313
2018-03-05,780.0179868551642
2018-03-12,659.4321121031774
2018-03-19,638.7180083831419
2018-03-26,548.9311979166645
2018-04-02,504.16440972221557
2018-04-09,526.6734742063479
2018-04-16,555.0596547619045
2018-04-23,608.0377539682581
2018-04-30,599.4372728174585
2018-05-07,563.0507238785603
2018-05-14,518.2441049811412
2018-05-21,468.6544705182005
2018-05-28,440.504235407982
2018-06-04,401.5060567893858
2018-06-11,338.5893384760425
2018-06-18,332.9372076277481
2018-06-25,310.3048262605658
2018-07-02,313.7228621031709
2018-07-09,301.5518405257932
2018-07-16,352.01712400793974
2018-07-23,391.9428978174539
2018-07-30,322.6827167658729
2018-08-06,274.3618039900276
2018-08-13,252.60537946428715
2018-08-20,256.16549925595996
2018-08-27,265.3772135416685
2018-09-03,251.4756619543666
2018-09-10,231.72930257936306
2018-09-17,233.2384436617981
2018-09-24,232.6163799603188
2018-10-01,227.4441748511928
2018-10-08,216.58494692460246
2018-10-15,222.1486205357121
2018-10-22,226.28851139354265
2018-10-29,223.15652322727038
2018-11-05,226.75197966269786
