date,USDT0,USDe,USDY,USDC,AUSD
2024-10-20,229953711.0,78239149.0,22543034.0,55753446.0,4996.0
2024-10-21,229635263.0,78416358.0,22546077.0,55727095.0,4999.0
2024-10-22,230009413.0,74854743.0,22549121.0,55763495.0,4995.0
2024-10-23,229967778.0,75522646.0,22597620.0,55757282.0,5008.0
2024-10-24,229979781.0,74959844.0,22592629.0,43763704.0,4999.0
2024-10-25,229100987.0,81666024.0,22660884.0,31657973.0,4990245.0
2024-10-26,230355056.0,82522934.0,22663943.0,32586778.0,5001191.0
2024-10-27,230444107.0,84735476.0,22667003.0,32598437.0,4997252.0
2024-10-28,230968693.0,84471737.0,22670063.0,32632670.0,5002122.0
2024-10-29,230292197.0,84772352.0,22673123.0,32564217.0,4994590.0
2024-10-30,230691923.0,84054707.0,22676184.0,32584194.0,5002432.0
2024-10-31,230584199.0,83727221.0,22679245.0,32584462.0,5005000.0
2024-11-01,230479889.0,82856247.0,22682217.0,32575059.0,5005000.0
2024-11-02,230633353.0,83429311.0,22685190.0,32577369.0,5002813.0
2024-11-03,230227190.0,82953149.0,22688163.0,32559633.0,4994530.0
2024-11-04,230581731.0,83290244.0,22691137.0,32617567.0,5001486.0
2024-11-05,230908825.0,83084488.0,22694111.0,32753323.0,5010005.0
2024-11-06,230908825.0,83546355.0,22697086.0,32678988.0,5010005.0
2024-11-07,231139933.0,79277590.0,22700061.0,32713990.0,5015010.0
2024-11-08,230909331.0,83355749.0,22703036.0,32679092.0,0.0
2024-11-09,230757145.0,82263605.0,22706012.0,32698607.0,5010082.0
2024-11-10,232702700.0,73143545.0,22708988.0,32681140.0,5002149.0
2024-11-11,236764310.0,69122917.0,22711964.0,33029291.0,5020093.0
2024-11-12,235734703.0,64214635.0,22714941.0,32764999.0,4986559.0
2024-11-13,235971534.0,65641171.0,22717918.0,32752758.0,6502449.0
2024-11-14,235642503.0,63917512.0,22720896.0,32719157.0,6487175.0
2024-11-15,235998986.0,61374844.0,22723874.0,32784899.0,6503744.0
2024-11-16,235760933.0,62128913.0,22726852.0,32723889.0,6500036.0
2024-11-17,235478490.0,61487255.0,22729831.0,32750198.0,6503126.0
2024-11-18,235750496.0,59551880.0,22732810.0,32718920.0,6511582.0
2024-11-19,235979927.0,63333870.0,22735790.0,33349068.0,6511582.0
2024-11-20,235979912.0,67806721.0,22738781.0,33361518.0,0.0
2024-11-21,235979643.0,67790604.0,22741767.0,33360795.0,6500374.0
2024-11-22,236224832.0,62629527.0,22744760.0,34210736.0,6499529.0
2024-11-23,235986042.0,62086191.0,22747744.0,34430604.0,6499743.0
2024-11-24,236220283.0,62923689.0,22750725.0,34506567.0,0.0
2024-11-25,235972363.0,72409557.0,22753707.0,34540562.0,6505077.0
2024-11-26,235105965.0,78483626.0,22756690.0,34332523.0,6482206.0
2024-11-27,235855915.0,79209427.0,23271452.0,34475786.0,6499932.0
2024-11-28,235830915.0,88321292.0,23437229.0,34522070.0,6502755.0
2024-11-29,236236917.0,92420917.0,23622969.0,34476128.0,6500283.0
2024-11-30,236236917.0,99087097.0,24116902.0,34472074.0,6505077.0
2024-12-01,236236850.0,99634914.0,0.0,34456191.0,6505077.0
2024-12-02,236235062.0,97901151.0,0.0,34469441.0,6503861.0
2024-12-03,236445927.0,99206250.0,0.0,34506089.0,6518088.0
2024-12-04,236206686.0,99077010.0,0.0,35126634.0,6505077.0
2024-12-05,236144521.0,99864567.0,0.0,35058670.0,6511582.0
2024-12-06,236006786.0,98148748.0,0.0,35107298.0,6501096.0
2024-12-07,236023941.0,98072288.0,0.0,35137489.0,6494220.0
2024-12-08,236023941.0,98349842.0,0.0,35170088.0,6511582.0
2024-12-09,235703889.0,94728839.0,0.0,35157121.0,6504349.0
2024-12-10,236044339.0,94826039.0,0.0,35225969.0,6754888.0
2024-12-11,235557505.0,96378283.0,0.0,35172662.0,6763022.0
2024-12-12,235826889.0,96073911.0,0.0,35231696.0,6750199.0
2024-12-13,235903889.0,95619518.0,0.0,35225663.0,6756077.0
2024-12-14,235903799.0,95458156.0,0.0,35239537.0,6750874.0
2024-12-15,235851601.0,95539990.0,0.0,35268927.0,6753658.0
2024-12-16,235902556.0,95147170.0,0.0,25221703.0,6750841.0
2024-12-17,235949556.0,94959290.0,0.0,25239039.0,6747226.0
2024-12-18,235896443.0,107685171.0,0.0,25232153.0,6742220.0
2024-12-19,235931089.0,107109379.0,0.0,25245489.0,6744794.0
2024-12-20,235948715.0,110050524.0,0.0,25282817.0,6751111.0
2024-12-21,253826327.0,93037782.0,0.0,25259426.0,6752820.0
2024-12-22,253766344.0,90826245.0,0.0,25392159.0,6755935.0
2024-12-23,254229596.0,89231386.0,0.0,25433212.0,6763042.0
2024-12-24,254472563.0,86441771.0,0.0,25502126.0,6746145.0
2024-12-25,255561600.0,87162063.0,0.0,25510505.0,6742091.0
2024-12-26,255574381.0,87177052.0,0.0,25542705.0,6749834.0
2024-12-27,235316381.0,99869575.0,0.0,25444126.0,6750503.0
2024-12-28,235136080.0,103286625.0,0.0,25451651.0,6750516.0
2024-12-29,235391889.0,102751780.0,0.0,25440386.0,6728977.0
2024-12-30,234879766.0,101261721.0,0.0,25433911.0,6752273.0
2024-12-31,235152523.0,100851187.0,0.0,25450029.0,6745172.0
2025-01-01,235023630.0,99911031.0,0.0,25452774.0,6748273.0
2025-01-02,235315836.0,99660202.0,0.0,25476500.0,6749286.0
2025-01-03,235566951.0,100182817.0,22300093.0,25477586.0,6726783.0
2025-01-04,235406294.0,101596549.0,22302694.0,25455980.0,6726472.0
2025-01-05,238919519.0,96021199.0,22364665.0,25487835.0,6722028.0
2025-01-06,238992411.0,96719964.0,22560980.0,25491091.0,6734483.0
2025-01-07,240362988.0,96941572.0,22715677.0,25459617.0,6722262.0
2025-01-08,242194714.0,94514674.0,23315910.0,25491738.0,6737605.0
2025-01-09,248443937.0,86749925.0,23650880.0,25509166.0,6752454.0
2025-01-10,249001021.0,87289911.0,23742084.0,25551159.0,6763945.0
2025-01-11,248958008.0,87587926.0,23860856.0,25613784.0,6772796.0
2025-01-12,252152045.0,81948760.0,23863640.0,25608547.0,6762924.0
2025-01-13,253944616.0,79623698.0,23863966.0,25625150.0,6782626.0
2025-01-14,254377000.0,79522804.0,23992420.0,25855350.0,6768229.0
2025-01-15,254474079.0,79306449.0,23995724.0,25855823.0,6763670.0
2025-01-16,254538773.0,79753092.0,23998524.0,25855838.0,6765665.0
2025-01-17,253781409.0,80291356.0,24001686.0,25855831.0,6764819.0
2025-01-18,255905679.0,81395547.0,24000401.0,27084504.0,6754187.0
2025-01-19,255879461.0,81415811.0,24002717.0,27164512.0,6716276.0
2025-01-20,255838430.0,80809018.0,24005518.0,27164418.0,6740904.0
2025-01-21,256194877.0,80878019.0,24002213.0,27248292.0,6775487.0
2025-01-22,257314175.0,79735093.0,24001693.0,28048497.0,6762361.0
2025-01-23,259818616.0,76785635.0,23931292.0,28284199.0,6783986.0
2025-01-24,264575073.0,71395832.0,24748133.0,28953617.0,6780729.0
2025-01-25,264638351.0,71352527.0,24910325.0,28952256.0,6783253.0
2025-01-26,266387323.0,68415936.0,25329606.0,30334291.0,6782079.0
2025-01-27,266611127.0,67827321.0,24910164.0,31634981.0,6786348.0
2025-01-28,267145615.0,67371679.0,24956758.0,31644433.0,6799921.0
2025-01-29,267394379.0,66447203.0,24910153.0,31787619.0,6782256.0
2025-01-30,267536778.0,66477428.0,25073270.0,31787837.0,6778388.0
2025-01-31,267517558.0,76084367.0,25098264.0,35929199.0,6793134.0
2025-02-01,267624209.0,79713151.0,25051660.0,37141984.0,6776243.0
2025-02-02,267633431.0,80156840.0,25167871.0,37154976.0,6806707.0
2025-02-03,268443788.0,79563287.0,24716597.0,37983362.0,6776331.0
2025-02-04,268230052.0,81055723.0,25066031.0,38761850.0,6768147.0
2025-02-05,268258052.0,78571525.0,25066632.0,39939028.0,6779942.0
2025-02-06,273366096.0,70787204.0,25113221.0,39939763.0,6793134.0
2025-02-07,273544326.0,71328481.0,24950148.0,39951227.0,6786348.0
2025-02-08,273641458.0,71432522.0,24950148.0,39979466.0,6784583.0
2025-02-09,275021240.0,70126374.0,25113218.0,39995609.0,6793134.0
2025-02-10,275060235.0,69926077.0,25089922.0,39860716.0,6785954.0
2025-02-11,275079026.0,72415258.0,25020033.0,39890446.0,6776277.0
2025-02-12,278633293.0,75204408.0,25066626.0,39957125.0,6786348.0
