issuer,mcap_musd,label
Ondo,1050,$1.05B
xStocks,601.7,$602M
bStocks,582.6,$583M
Superstate Opening Bell,44.4,$44M
Robinhood,39.1,$39M
WisdomTree,27.1,$27M
Dinari,10.1,$10M
Others,13,$13M
