date,blockchain,daily_mint,daily_redeem,cumulative_mint,cumulative_redeem,cumulative_net_supply
2025-11-14 00:00:00.000 UTC,polygon,10401449,-2506133,134817080,-52943426.6890302,81873653.3109698
2025-11-14 00:00:00.000 UTC,avalanche,714939,-6000,49882016,-5779251.55387,44102764.44613
2025-11-14 00:00:00.000 UTC,ethereum,,-82613,40000000,-7872650,32127350
2025-11-15 00:00:00.000 UTC,avalanche,1052375,-149999.99999999997,50934391,-5929251.55387,45005139.44613
2025-11-15 00:00:00.000 UTC,polygon,5865841,-5346339,140682921,-58289765.6890302,82393155.3109698
2025-11-16 00:00:00.000 UTC,avalanche,730184,-303000,51664575,-6232251.55387,45432323.44613
2025-11-16 00:00:00.000 UTC,polygon,6055000,-4689529,146737921,-62979294.6890302,83758626.3109698
2025-11-16 00:00:00.000 UTC,ethereum,1000000,-10000,41000000,-7882650,33117350
2025-11-17 00:00:00.000 UTC,polygon,9679523,-3286744,156417444,-66266038.6890302,90151405.3109698
2025-11-17 00:00:00.000 UTC,ethereum,1000000,,42000000,-7882650,34117350
2025-11-17 00:00:00.000 UTC,avalanche,795000,-62999,52459575,-6295250.55387,46164324.44613
2025-11-18 00:00:00.000 UTC,polygon,6770500,-4339387.27760284,163187944,-70605425.96663304,92582518.03336696
2025-11-18 00:00:00.000 UTC,avalanche,2785800,-413000,55245375,-6708250.55387,48537124.44613
2025-11-19 00:00:00.000 UTC,polygon,6407500,-2620925,169595444,-73226350.96663304,96369093.03336696
2025-11-19 00:00:00.000 UTC,avalanche,764500,-20000,56009875,-6728250.55387,49281624.44613
2025-11-19 00:00:00.000 UTC,ethereum,1000000,,43000000,-7882650,35117350
2025-11-20 00:00:00.000 UTC,avalanche,3330000,-1379458,59339875,-8107708.55387,51232166.44613
2025-11-20 00:00:00.000 UTC,ethereum,2000000,-99381,45000000,-7982031,37017969
2025-11-20 00:00:00.000 UTC,polygon,9039638,-5197855,178635082,-78424205.96663304,100210876.03336696
2025-11-21 00:00:00.000 UTC,ethereum,1000000,,46000000,-7982031,38017969
2025-11-21 00:00:00.000 UTC,polygon,9770654,-2973238,188405736,-81397443.96663304,107008292.03336696
2025-11-21 00:00:00.000 UTC,avalanche,1417000,-1016000,60756875,-9123708.55387,51633166.44613
2025-11-22 00:00:00.000 UTC,polygon,4717350,-3773870,193123086,-85171313.96663304,107951772.03336696
2025-11-22 00:00:00.000 UTC,avalanche,279000,,61035875,-9123708.55387,51912166.44613
2025-11-23 00:00:00.000 UTC,polygon,2692500,-4358625.064296681,195815586,-89529939.03092971,106285646.96907029
2025-11-23 00:00:00.000 UTC,avalanche,1322000,-55999.99999999999,62357875,-9179708.55387,53178166.44613
2025-11-23 00:00:00.000 UTC,ethereum,,-28999.999999999996,46000000,-8011031,37988969
2025-11-24 00:00:00.000 UTC,avalanche,739000,-18681.09601157954,63096875,-9198389.649881579,53898485.35011842
2025-11-24 00:00:00.000 UTC,ethereum,1000000,-22000,47000000,-8033031,38966969
2025-11-24 00:00:00.000 UTC,polygon,3673275,-1123027,199488861,-90652966.03092971,108835894.96907029
2025-11-25 00:00:00.000 UTC,avalanche,2540101,-251074.99999999997,65636976,-9449464.649881579,56187511.35011842
2025-11-25 00:00:00.000 UTC,polygon,6453432,-1259460,205942293,-91912426.03092971,114029866.96907029
2025-11-26 00:00:00.000 UTC,avalanche,2342000,-1021183.9999999999,67978976,-10470648.649881579,57508327.35011842
2025-11-26 00:00:00.000 UTC,polygon,6068000,-5698051,212010293,-97610477.03092971,114399815.96907029
2025-11-26 00:00:00.000 UTC,ethereum,1000000,-1180786,48000000,-9213817,38786183
2025-11-27 00:00:00.000 UTC,polygon,6791000,-4809432,218801293,-102419909.03092971,116381383.96907029
2025-11-27 00:00:00.000 UTC,ethereum,1000000,,49000000,-9213817,39786183
2025-11-27 00:00:00.000 UTC,avalanche,1382500,-1014664,69361476,-11485312.649881579,57876163.35011842
2025-11-28 00:00:00.000 UTC,polygon,11231949,-8532455,230033242,-110952364.03092971,119080877.96907029
2025-11-28 00:00:00.000 UTC,avalanche,1322000,-44297,70683476,-11529609.649881579,59153866.35011842
2025-11-29 00:00:00.000 UTC,polygon,8680000,-6053577,238713242,-117005941.03092971,121707300.96907029
2025-11-29 00:00:00.000 UTC,avalanche,272500,-958610.9999999999,70955976,-12488220.649881579,58467755.35011842
2025-11-29 00:00:00.000 UTC,ethereum,,-4500,49000000,-9218317,39781683
2025-11-30 00:00:00.000 UTC,avalanche,635000,-1058684,71590976,-13546904.649881579,58044071.35011842
2025-11-30 00:00:00.000 UTC,ethereum,,-1000000,49000000,-10218317,38781683
2025-11-30 00:00:00.000 UTC,polygon,7200200,-7335854,245913442,-124341795.03092971,121571646.96907029
2025-12-01 00:00:00.000 UTC,ethereum,1000000,-1825000,50000000,-12043317,37956683
2025-12-01 00:00:00.000 UTC,polygon,9185840,-10299645.511585511,255099282,-134641440.54251522,120457841.45748478
2025-12-01 00:00:00.000 UTC,avalanche,2265000,-4100000,73855976,-17646904.64988158,56209071.35011842
2025-12-02 00:00:00.000 UTC,polygon,10993300,-4263677,266092582,-138905117.54251522,127187464.45748478
2025-12-02 00:00:00.000 UTC,avalanche,2294000,-17525.06829,76149976,-17664429.718171578,58485546.28182842
2025-12-02 00:00:00.000 UTC,ethereum,3000000,-1010000,53000000,-13053317,39946683
2025-12-03 00:00:00.000 UTC,avalanche,1318000,-1027699,77467976,-18692128.718171578,58775847.28182842
2025-12-03 00:00:00.000 UTC,ethereum,1000000,,54000000,-13053317,40946683
2025-12-03 00:00:00.000 UTC,polygon,4442830,-4360557.103964951,270535412,-143265674.64648017,127269737.35351983
2025-12-04 00:00:00.000 UTC,ethereum,3000000,-1000000,57000000,-14053317,42946683
2025-12-04 00:00:00.000 UTC,polygon,5921000,-4478942.19631017,276456412,-147744616.84279034,128711795.15720966
2025-12-04 00:00:00.000 UTC,avalanche,2217000,-2228400,79684976,-20920528.718171578,58764447.28182842
2025-12-05 00:00:00.000 UTC,polygon,8371374,-3518049,284827786,-151262665.84279034,133565120.15720966
2025-12-05 00:00:00.000 UTC,avalanche,2901060,-122411,82586036,-21042939.718171578,61543096.28182842
2025-12-05 00:00:00.000 UTC,ethereum,2000000,,59000000,-14053317,44946683
2025-12-06 00:00:00.000 UTC,avalanche,2058000,-350000,84644036,-21392939.718171578,63251096.28182842
2025-12-06 00:00:00.000 UTC,ethereum,,-91728,59000000,-14145045,44854955
2025-12-06 00:00:00.000 UTC,polygon,3694370,-4290946,288522156,-155553611.84279034,132968544.15720966
2025-12-07 00:00:00.000 UTC,ethereum,2000000,,61000000,-14145045,46854955
2025-12-07 00:00:00.000 UTC,polygon,3372904,-5286180,291895060,-160839791.84279034,131055268.15720966
