time,fundingRate,close
2026-07-10 00:00:00+00:00,0.000320956,1483.8
2026-07-10 01:00:00+00:00,0.0006242835,1481.6
2026-07-10 02:00:00+00:00,0.0007078568,1486.5
2026-07-10 03:00:00+00:00,0.000426974,1500.1
2026-07-10 04:00:00+00:00,0.0003786819,1501.1
2026-07-10 05:00:00+00:00,0.0003434505,1481.8
2026-07-10 06:00:00+00:00,0.0002886313,1469.9
2026-07-10 07:00:00+00:00,0.0002405211,1459.5
2026-07-10 08:00:00+00:00,0.0002564808,1469.3
2026-07-10 09:00:00+00:00,0.0005539066,1482.4
2026-07-10 10:00:00+00:00,0.0007404242,1475.9
2026-07-10 11:00:00+00:00,0.0006639954,1497.7
2026-07-10 12:00:00+00:00,0.0006702923,1488.1
2026-07-10 13:00:00+00:00,6.25e-06,1499.9
2026-07-10 14:00:00+00:00,-0.0001226565,1485.6
2026-07-10 15:00:00+00:00,6.25e-06,1489.6
2026-07-10 16:00:00+00:00,3.92912e-05,1475.9
2026-07-10 17:00:00+00:00,-0.0003973197,1484.9
2026-07-10 18:00:00+00:00,0.0001702995,1478.7
2026-07-10 19:00:00+00:00,-7.58285e-05,1472.2
2026-07-10 20:00:00+00:00,1.4997e-06,1473.3
2026-07-10 21:00:00+00:00,-1.92363e-05,1471.0
2026-07-10 22:00:00+00:00,-4.62494e-05,1469.9
2026-07-10 23:00:00+00:00,-3.9412e-05,1475.4
2026-07-11 00:00:00+00:00,2.83053e-05,1469.0
2026-07-11 01:00:00+00:00,6.25e-06,1466.1
2026-07-11 02:00:00+00:00,-6.77953e-05,1473.5
2026-07-11 03:00:00+00:00,6.31322e-05,1470.7
2026-07-11 04:00:00+00:00,2.58547e-05,1469.3
2026-07-11 05:00:00+00:00,-4.35356e-05,1472.2
2026-07-11 06:00:00+00:00,6.25e-06,1475.1
2026-07-11 07:00:00+00:00,3.70688e-05,1474.2
2026-07-11 08:00:00+00:00,6.25e-06,1474.2
2026-07-11 09:00:00+00:00,6.25e-06,1475.0
2026-07-11 10:00:00+00:00,6.25e-06,1476.9
2026-07-11 11:00:00+00:00,6.25e-06,1478.2
2026-07-11 12:00:00+00:00,2.01867e-05,1479.8
2026-07-11 13:00:00+00:00,3.52121e-05,1477.7
2026-07-11 14:00:00+00:00,-4.053e-06,1474.8
2026-07-11 15:00:00+00:00,-4.16292e-05,1473.3
