month,protocol_revenue_musd,holder_revenue_musd
2025-07,96.0,94.1
2025-08,124.0,111.7
2025-09,98.0,83.5
2025-10,107.0,105.6
2025-11,85.0,73.3
2025-12,57.0,47.9
2026-01,65.0,54.5
2026-02,58.0,49.3
2026-03,55.0,47.1
2026-04,48.0,40.7
2026-05,54.0,45.5
2026-06,71.0,57.9
