date,btc_index,eth_index,sol_index
2026-08-22,100.0,100.0,100.0
2026-08-23,98.42085128275747,96.35960169968776,100.2037534571244
2026-08-24,99.22692255460088,97.90996697491934,101.82910908876737
2026-08-25,100.8377533126293,98.6843509501516,105.52161991579673
2026-08-26,100.24701409457025,97.09910910028637,103.07653969828027
2026-08-27,100.89412253438623,99.65707422815572,108.91745272304047
2026-08-28,102.49061918540967,99.86058123918609,116.52564191675559
2026-08-29,99.36538945017594,97.11487481658756,111.12162835747559
2026-08-30,99.88171567346645,97.69864856364822,112.70103589837441
2026-08-31,99.15785935825483,96.07447181212953,108.52678106988154
2026-09-01,100.30006235367073,98.07544562282699,109.94396436212426
2026-09-02,98.84912967872013,96.13149330094706,106.69359305967679
2026-09-03,98.69679180320873,95.06218155187442,107.14758694297932
2026-09-04,103.76277835462378,99.70897065748211,110.95773033760092
2026-09-05,101.72819066087364,97.65871688156736,108.78955919450905
2026-09-06,101.92028122197563,98.60974712348245,110.11013786429939
2026-09-07,102.5684726449098,99.96189577659067,113.65754046468746
2026-09-08,100.99043544706842,98.98325435498462,110.75698886448244
2026-09-09,100.16979015500615,98.81120241972458,110.31690527621582
2026-09-10,99.9556720159539,98.11375660915405,108.40448223569379
2026-09-11,97.74918214283991,96.92032748903799,105.26977722386151
2026-09-12,98.57727995385103,99.99519840928728,109.28620585106191
2026-09-13,98.65145567071615,100.40953545429645,108.6009846106124
2026-09-14,98.08634482454043,98.47771192474231,106.01128516622518
2026-09-15,99.81559029731842,99.99172843301876,109.41348225669445
2026-09-16,96.51735207188923,95.32915181204278,103.39369431418572
2026-09-17,97.22800509124649,96.06325246300247,105.17496023222712
2026-09-18,97.51472077778341,97.26341102453867,108.40533705957074
2026-09-19,103.26337877005795,103.84052582947567,120.28767068038925
2026-09-20,103.67758336460278,104.69270172397978,117.20820600198654
