date,ev_b,nav_b
2024-04-09,0.026773567898400002,0.0
2024-04-10,0.0236072097824,0.0
2024-04-11,0.026521523985600003,0.0
2024-04-12,0.025040427229200003,0.0
2024-04-13,0.025040427229200003,0.0
2024-04-14,0.025040427229200003,0.0
2024-04-15,0.021958987134,0.0
2024-04-16,0.0197051589729,0.0
2024-04-17,0.019750892747400002,0.0
2024-04-18,0.029418191416740003,0.0
2024-04-19,0.031519490803650005,0.0
2024-04-20,0.031519490803650005,0.0
2024-04-21,0.031519490803650005,0.0
2024-04-22,0.032524799234232,0.0
2024-04-23,0.035683411367564,0.006498625556
2024-04-24,0.033485578969376,0.0062874280729999996
2024-04-25,0.029236176311300002,0.006309802454
2024-04-26,0.029757194550621997,0.0062371928615
2024-04-27,0.029757194550621997,0.006205842699999999
2024-04-28,0.029757194550621997,0.006175209779
2024-04-29,0.029757194550621997,0.006247218572499999
2024-04-30,0.029860878155327997,0.005931872485
2024-05-01,0.030501831348056004,0.0057012879814999995
2024-05-02,0.029577454633999998,0.0057801844365
2024-05-03,0.029577454633999998,0.0061560399855
2024-05-04,0.029577454633999998,0.006252896807999999
2024-05-05,0.029577454633999998,0.0062646945825
2024-05-06,0.029577454633999998,0.006180425183999999
2024-05-07,0.030468841110195002,0.006097597115999999
2024-05-08,0.031324474619249996,0.0059854385105
2024-05-09,0.03170241492089,0.0074250206603999995
2024-05-10,0.03272929638237,0.0071559009684
2024-05-11,0.03272929638237,0.0071590982436
2024-05-12,0.03272929638237,0.0072342495144
2024-05-13,0.03263748909939,0.0074083985964
2024-05-14,0.03367797163983,0.007244469964799999
2024-05-15,0.036226643823446994,0.0077983249068
2024-05-16,0.038291287609574995,0.007681486629599999
2024-05-17,0.03821393147299,0.0078926939676
2024-05-18,0.03821393147299,0.007878277976399999
2024-05-19,0.03821393147299,0.0078003179063999995
2024-05-20,0.044597597882866005,0.0084089950524
2024-05-21,0.06530558062644,0.0082572151248
2024-05-22,0.09754523816624999,0.008135620959599998
2024-05-23,0.082294008301428,0.007997949773999998
2024-05-24,0.061710815457312,0.008069447016
2024-05-25,0.061710815457312,0.0081567799524
2024-05-26,0.061710815457312,0.0080607263184
2024-05-27,0.07252588340584301,0.0081660857184
2024-05-28,0.06703971819384,0.008042863485599999
