date,Ethereum,Solana,Polygon,Optimism,Avalanche C-Chain,BNB Chain,Arbitrum,Aptos,Tempo
2024-05-19,427016347.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-20,427016347.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-21,442282474.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-22,448504972.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23,451080648.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,453512032.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-25,453512032.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-26,453512032.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-27,453512032.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-28,473090665.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-29,454090665.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-30,454090665.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31,456255765.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,456255765.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-02,456255765.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-03,462542901.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-04,462870228.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-05,462870228.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-06,462870228.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-07,463270228.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-08,463270228.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-09,463270228.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
