time,fundingRate,close
2026-07-10 00:00:00+00:00,-2.0086e-06,161.42
2026-07-10 01:00:00+00:00,-7.0684e-06,163.11
2026-07-10 02:00:00+00:00,3.5949e-06,162.31
2026-07-10 03:00:00+00:00,-1.8249e-06,164.11
2026-07-10 04:00:00+00:00,4.1129e-06,166.7
2026-07-10 05:00:00+00:00,4.2855e-06,162.95
2026-07-10 06:00:00+00:00,-2.7159e-06,162.13
2026-07-10 07:00:00+00:00,-2.964e-06,160.6
2026-07-10 08:00:00+00:00,-2.6397e-06,162.44
2026-07-10 09:00:00+00:00,2.0295e-06,164.03
2026-07-10 10:00:00+00:00,9.671e-07,162.0
2026-07-10 11:00:00+00:00,-4.046e-07,164.66
2026-07-10 12:00:00+00:00,3.7052e-06,163.23
2026-07-10 13:00:00+00:00,-1.21e-07,170.07
2026-07-10 14:00:00+00:00,6.25e-08,167.05
2026-07-10 15:00:00+00:00,5.3007e-06,171.5
2026-07-10 16:00:00+00:00,0.0001846141,173.59
2026-07-10 17:00:00+00:00,-1.52815e-05,170.98
2026-07-10 18:00:00+00:00,-2.4262e-05,169.56
2026-07-10 19:00:00+00:00,-0.0001180751,168.0
2026-07-10 20:00:00+00:00,-9.98036e-05,169.1
2026-07-10 21:00:00+00:00,-8.26926e-05,170.05
2026-07-10 22:00:00+00:00,-4.29164e-05,171.02
2026-07-10 23:00:00+00:00,-8.28353e-05,171.83
2026-07-11 00:00:00+00:00,-2.75998e-05,171.89
2026-07-11 01:00:00+00:00,-1.76928e-05,171.11
2026-07-11 02:00:00+00:00,3.3176e-06,171.94
2026-07-11 03:00:00+00:00,6.25e-06,171.01
2026-07-11 04:00:00+00:00,-9.71742e-05,170.91
2026-07-11 05:00:00+00:00,-7.2797e-05,170.7
2026-07-11 06:00:00+00:00,6.25e-06,170.35
2026-07-11 07:00:00+00:00,-2.2132e-05,170.36
2026-07-11 08:00:00+00:00,-1.15471e-05,170.54
2026-07-11 09:00:00+00:00,6.25e-06,170.63
2026-07-11 10:00:00+00:00,6.25e-06,170.63
2026-07-11 11:00:00+00:00,6.25e-06,170.19
2026-07-11 12:00:00+00:00,-9.6567e-06,170.27
2026-07-11 13:00:00+00:00,-1.39852e-05,169.77
2026-07-11 14:00:00+00:00,-6.97211e-05,169.99
2026-07-11 15:00:00+00:00,-1.9444e-05,169.8
2026-07-11 16:00:00+00:00,6.25e-06,169.78
