date,alt_perps_bn,equity_perps_bn,alt_index,equity_index
2026-01-10,8.4,0.084,100.0,100.0
2026-01-17,8.35,0.1,99.4047619047619,119.04761904761905
2026-01-24,8.15,0.115,97.02380952380952,136.9047619047619
2026-01-31,7.85,0.135,93.45238095238095,160.71428571428572
2026-02-07,7.7,0.165,91.66666666666666,196.42857142857142
2026-02-14,7.85,0.2,93.45238095238095,238.0952380952381
2026-02-21,7.6,0.25,90.47619047619047,297.6190476190476
2026-02-28,7.2,0.32,85.71428571428571,380.9523809523809
2026-03-07,6.6,0.42,78.57142857142856,499.9999999999999
2026-03-14,6.1,0.55,72.61904761904762,654.7619047619047
2026-03-21,5.85,0.7,69.64285714285714,833.3333333333333
2026-03-28,5.75,0.88,68.45238095238095,1047.6190476190477
2026-04-04,5.85,1.1,69.64285714285714,1309.5238095238094
2026-04-11,5.95,1.32,70.83333333333334,1571.4285714285713
2026-04-18,6.1,1.55,72.61904761904762,1845.2380952380952
2026-04-25,6.05,1.8,72.02380952380952,2142.8571428571427
2026-05-02,5.9,2.1,70.23809523809524,2500.0
2026-05-09,5.8,2.4,69.04761904761905,2857.142857142857
2026-05-16,5.95,2.75,70.83333333333334,3273.8095238095234
2026-05-23,6.1,3.1,72.61904761904762,3690.4761904761904
2026-05-30,6.0,3.45,71.42857142857143,4107.142857142857
2026-06-06,5.95,3.8,70.83333333333334,4523.809523809523
2026-06-13,6.4,4.15,76.19047619047619,4940.476190476191
2026-06-20,7.05,4.5,83.92857142857142,5357.142857142857
2026-06-27,6.9,4.85,82.14285714285714,5773.809523809523
2026-07-04,6.4,5.15,76.19047619047619,6130.952380952381
2026-07-12,5.9,5.53,70.23809523809524,6583.333333333333
