,Ethereum,Solana,Base,BSC,Tron,Others
2020-07-05,89.20674103008118,0.0,0.0,0.0,0.8681238612571204,9.925135108661694
2020-07-12,90.64614255820298,0.0,0.0,0.0,0.809780408678331,8.544077033118693
2020-07-19,91.59161640853803,0.0,0.0,0.0,0.7453482775409503,7.6630353139210206
2020-07-26,93.5324850313275,0.0,0.0,0.0,0.5731719815766504,5.894342987095848
2020-08-02,94.15464388816693,0.0,0.0,0.0,0.5502736949525306,5.295082416880531
2020-08-09,94.95058351061654,0.0,0.0,0.0,0.4961206960133501,4.553295793370106
2020-08-16,94.73928936727972,0.0,0.0,0.0,0.459569450293379,4.801141182426911
2020-08-23,95.32806868484053,0.0,0.0,0.0,0.5065730424679465,4.165358272691529
2020-08-30,94.7345419136011,0.0,0.0,0.0,0.511894665070088,4.753563421328809
2020-09-06,93.89521772167537,0.0,0.0,0.0,1.370987179313572,4.733795099011067
2020-09-13,94.15096568032543,0.0,0.0,0.0,1.8382244120255107,4.0108099076490635
2020-09-20,94.80516385192665,0.0,0.0,0.0,2.173959647252723,3.0208765008206293
2020-09-27,94.12466778130465,0.0,0.0,0.0,2.997502829426238,2.8778293892691034
2020-10-04,95.14789647336356,0.0,0.0,0.0,2.4600596448572705,2.3920438817791614
2020-10-11,95.59097216116167,0.0,0.0,0.0,2.1086095432219154,2.3004182956164114
2020-10-18,95.69417753582232,0.0,0.0,0.0,2.0379349754721243,2.267887488705553
2020-10-25,95.68512445726324,0.0,0.0,0.0,2.1166510485805707,2.1982244941561846
2020-11-01,95.6962619421496,0.0,0.0,0.05664891888291473,2.1403549755439237,2.106734163423552
2020-11-08,96.06116016810174,0.0,0.0,0.15568476774854983,1.7353938953719088,2.0477611687778063
2020-11-15,95.48023962202663,0.0,0.0,0.34440001922992475,1.465395181685037,2.709965177058398
2020-11-22,95.68375868023386,0.0,0.0,0.5844266909083837,1.3453708589151347,2.38644376994261
2020-11-29,95.50563642473024,0.0,0.0,0.9121080273293583,1.3055703078436511,2.2766852400967443
2020-12-06,95.4179455677008,0.0,0.0,1.0979700589244736,1.1444352744779285,2.3396490988968117
2020-12-13,95.23520405447707,0.0,0.0,1.2135593088073315,1.0957809045899813,2.4554557321256176
2020-12-20,95.38788391861719,0.0,0.0,1.2479082939018364,1.0618280140119754,2.302379773468985
2020-12-27,95.764464245144,0.0,0.0,1.0932239150747587,0.9819642696352585,2.1603475701459907
2021-01-03,96.09528081426369,0.0,0.0,1.0197864167461694,0.86879965463523,2.016133114354908
2021-01-10,96.4557842947306,0.0,0.0,1.0055296574252053,0.7202319678685384,1.8184540799756483
2021-01-17,96.54568660625505,0.0,0.0,0.9321451703660669,0.6945224001408947,1.8276458232379882
2021-01-24,94.92854231600279,0.0,0.0,1.018049205452516,0.653868998017475,3.399539480527225
2021-01-31,92.58069896603875,0.0,0.0,1.2680465795943678,0.5996812046710734,5.551573249695809
2021-02-07,92.73263503444255,0.0,0.0,1.346670909532641,0.5509683739873438,5.369725682037459
2021-02-14,92.28729039067464,0.0,0.0,2.1012656713966087,0.5898572015043421,5.02158673642442
2021-02-21,89.82802637572986,0.0,0.0,3.21387030858102,1.2727661297169948,5.685337185972133
2021-02-28,84.58020703025139,0.0,0.0,4.585409828994369,2.8264027158584923,8.007980424895752
2021-03-07,83.83510700795644,0.0,0.0,5.072857091480055,3.389006670385529,7.703029230177992
2021-03-14,83.73703227674464,0.0,0.0,5.371124630216697,3.4094080423104693,7.482435050728201
2021-03-21,83.10109129613481,0.2048745378315197,0.0,5.650739772014438,3.6172628137353504,7.42603158028387
2021-03-28,81.12441486415669,0.30720339671883606,0.0,7.606664572115139,3.8991757977286805,7.06254136928066
2021-04-04,78.82208135722779,0.37335883828323463,0.0,9.864675468874333,4.19967215703415,6.740212178580497
2021-04-11,75.7871712531448,0.45745151257334715,0.0,10.352514264179858,5.2540360542784255,8.148826915823559
2021-04-18,72.54830374503543,0.9337264813355745,0.0,13.110871537976053,5.123665088005576,8.283433147647369
2021-04-25,71.21033799526285,1.0006887747518933,0.0,14.53713532489211,4.477929628023502,8.77390827706965
2021-05-02,67.00945648995801,1.3181682091162092,0.0,18.353191357389967,3.7885781088520547,9.53060583468375
