,Ethereum,Solana,BSC,Tron,Bitcoin,Base,Arbitrum,Hyperliquid L1,Others
2026-08-18,56.181084288620056,6.529642206599124,6.573231834650342,6.454570512795395,4.6975362781195935,6.378632523469572,1.6771736003726552,1.6892723553633255,9.818856400009942
2026-08-19,56.07164195210024,6.550783904701792,6.737178520765369,6.4226690818609375,4.681817717455732,6.345698920325771,1.65805592569772,1.6655092925920263,9.86664468450041
2026-08-20,57.050195269313306,6.486876316757252,6.453249989570336,6.2033329351033055,4.672662809606831,6.231472558391254,1.6539817496642257,1.7534418028389869,9.494786568754504
2026-08-21,57.040810761263074,6.425599264673382,6.509305966710861,6.163161777374444,4.792409007121805,6.309772742096538,1.6474202038125059,1.743980040723692,9.367540236223702
2026-08-22,57.34821579415878,6.417581594934735,6.436825409656047,6.0777119759377385,4.676079279886068,6.3488192697558485,1.656302293759452,1.681511565422126,9.3569528164892
2026-08-23,57.14160033896154,6.495134121281043,6.4678335907957045,6.075321311483201,4.6878231276925755,6.346066503181522,1.632995603749208,1.775512953168076,9.377712449687127
2026-08-24,57.027414551389775,6.471001826623916,6.4648461385572284,6.043278272764621,4.695089459493871,6.367788846190233,1.6536232371593673,1.814292687630085,9.462664980190903
2026-08-25,56.97185276133829,6.649851307778302,6.469404615769562,6.0040221487466665,4.761659859768935,6.391070532253716,1.65300399926065,1.7543849849400186,9.344749790143853
2026-08-26,57.02163343658258,6.538093490475344,6.450335073660574,5.998223106116328,4.782652540826946,6.376048430068142,1.649739354211003,1.8091009805185434,9.374173587540538
2026-08-27,57.24353998769956,6.633385576711722,6.423097682503966,5.950660046481647,4.721647914530366,6.296117535542976,1.6447609132330787,1.8269889335820122,9.259801409714665
2026-08-28,56.98782981010708,6.843623002776127,6.368713484080882,5.90856582563331,4.778733908473623,6.287886041473753,1.6497591082927587,1.821495387070659,9.353393432091806
2026-08-29,56.969647267936566,6.814375124503645,6.312332372450015,6.058635747079298,4.711484447777419,6.354140316745567,1.630087460737356,1.7442662548414076,9.405031007928734
2026-08-30,56.96045945379269,6.843402774017404,6.338616060374028,6.065185941063513,4.720898682246485,6.372729177431395,1.6194664288793241,1.7959708671149044,9.283270615080252
2026-08-31,56.95609763663592,6.773506902607782,6.3613232843298135,6.080643507686625,4.748834515293336,6.390093254252189,1.619801856059454,1.7133713938496504,9.35632764928524
2026-09-01,56.94188116633813,6.902236406879133,6.334851696133134,5.968032954834457,4.723083318021794,6.390691524640471,1.6209881705503175,1.760453266278204,9.357781496324366
2026-09-02,56.709125093027936,6.63453915663244,6.300703722984932,6.189935531933336,4.833399925921826,6.417863408027505,1.6267157959482894,1.7808196308735103,9.506897734650233
2026-09-03,56.54270591693623,6.6978000762359216,6.3807238734860094,6.1959678262528275,4.845881423182339,6.383377409034807,1.6148560510199295,1.7758790801227913,9.56280834372914
2026-09-04,56.50194849432888,6.70483795944569,6.374280301733686,6.129501922813677,4.988073053311001,6.443689913918424,1.6111920840779885,1.7589040336906812,9.48757223667997
2026-09-05,56.26993387796031,6.7327217059405005,6.449746529485006,6.190189557757715,4.953172912788132,6.453933986062621,1.6109625159793848,1.7236779263546596,9.61566098767167
2026-09-06,56.246877138471085,6.708345322304899,6.608921720357465,6.155400126396212,4.911195034215355,6.415987489717469,1.6012269160206811,1.7299457694922373,9.622100483024594
2026-09-07,56.40359613561279,6.757921089710087,6.517277511970672,6.168917855517728,4.888850432506485,6.409875072629427,1.5976840553586495,1.7280063924473616,9.527871454246801
2026-09-08,56.24657027910733,6.711841354601273,6.4975967867543405,6.180719348166294,4.844000973396336,6.379925573687845,1.5890220100526236,1.6930757786837867,9.857247895550167
2026-09-09,56.46445503924089,6.744135855376644,6.50386779483442,6.012895490765279,4.815709464431917,6.412659381886532,1.583326255593363,1.6650080241247196,9.797942693746236
2026-09-10,56.5418991946875,6.709978257455792,6.480349221132838,5.905398775976984,4.849535208126475,6.435763847633259,1.5867376009479948,1.6429138751873142,9.847424018851836
2026-09-11,56.41941628020353,6.647045951874222,6.439620247838778,6.309100620537855,4.807463664636609,6.383672866631603,1.587149637939755,1.5899102218708328,9.816620508466823
