symbol,time,funding_rate,annualized_pct
SPCX,2026-05-21 16:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-22 00:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-22 08:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-22 16:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-23 00:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-23 08:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-23 16:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-24 00:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-24 08:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-24 16:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-25 00:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-25 08:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-25 16:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-26 00:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-26 08:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-26 16:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-27 00:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-27 08:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-27 16:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-28 00:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-28 08:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-28 16:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-29 00:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-29 08:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-29 16:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-30 00:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-30 08:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-30 16:00:00.001,5e-05,5.4750000000000005
SPCX,2026-05-31 00:00:00.001,5e-05,5.4750000000000005
