Day,Only_BRC20_Fee,Only_Runes_Fee,Other_Inscriptions_Fee,Other_RnI_Fee,regular_tx_Fee,RnB_Fee
2023-02-17,0,3.62e-05,1.0537399600000008,0,12.840013140000043,0
2023-02-18,0,0,1.936007440000005,0,18.012188830000014,0
2023-02-19,0,0,1.3740571300000006,0,14.01821912000002,0
2023-02-20,0,0,2.2169319,0.00074842,15.659345480000294,0
2023-02-21,0,1.469e-05,1.173941839999999,0,16.14669226000028,0
2023-02-22,0,0,1.09936717,0,17.35120976000015,0
2023-02-23,0,0,1.7246954899999998,0,17.29840872000011,0
2023-02-24,0,0,0.7124056000000004,0,17.82291177000025,0
2023-02-25,0,4.838e-05,0.7722684899999993,0,15.186757140000086,0
2023-02-26,0,0.0001335,1.3315094700000003,0,13.730607620000162,0
2023-02-27,0,7.294e-05,0.8973782000000021,0,21.75607657000014,0
2023-02-28,0,0,1.0844956600000026,0,24.733936420000013,0
2023-03-01,0,4.050000000000001e-05,1.8956675800000005,0.00013378,23.942315280000248,0
2023-03-02,0,0.00010123,1.499279350000002,0,22.439130150000192,0
2023-03-03,0,9.598000000000001e-05,1.5642206899999977,0.00024948,26.325547920000172,0
2023-03-04,0,0.00034378,1.6115742100000008,0,18.574690350000004,0
2023-03-05,0,0,1.0276743299999997,0,16.48320180000015,0
2023-03-06,0,3.744e-05,0.9154741300000011,0,23.111941290000246,0
2023-03-07,0,0.00032504,1.449320300000002,0,24.19186140000015,0
2023-03-08,0.00025089999999999997,2.448e-05,1.2619758799999998,0,24.99330720999986,0
2023-03-09,1.5270212500000218,0,2.7818855199999977,0,40.4873500399997,0
2023-03-10,0.28271896000000096,0.00010388,1.59950758,0,42.06222101000175,0
2023-03-11,0.03134903000000002,0.00070593,2.0980317499999988,0,25.127337829999927,0
2023-03-12,0.03347177999999996,0.0006933700000000001,1.7082075099999936,0,19.623075100000268,0
2023-03-13,0.2859354799999987,4.743999999999972e-05,2.5700374099999945,0.00280437,23.2681599400001,0
2023-03-14,0.09995862999999998,0,0.7082198699999988,0,36.360733560000085,0
2023-03-15,0.07449584000000002,0,1.982208769999998,0.00392934,31.592984010000315,0
2023-03-16,0.05536962000000002,0,3.6562905399999996,0,29.689626510000423,0
2023-03-17,0.07630975000000013,0.0001667200000000002,3.102942029999998,0.0015001,39.33039268000024,0
2023-03-18,0.11034738999999946,0,2.822632509999999,0.0008245,31.99324660000017,0
2023-03-19,0.08713910000000034,9.779e-05,4.011356369999998,0,24.457136469999913,0
2023-03-20,0.17068592999999999,0,2.5500397299999946,0,26.94150232000014,0
2023-03-21,0.21722748999999858,0,2.083575890000012,0,26.58579374000034,0
2023-03-22,0.0116885,6.09e-05,5.107543229999999,0,30.232137390000002,0
2023-03-23,0.0074143299999999985,0.00188899,12.059817250000002,0,27.042000920000184,0
2023-03-24,0.004296109999999999,0.00012576,13.390880050000003,0,30.929078180000065,0
2023-03-25,0.00270333,0,4.950847360000002,0,25.642285800000423,0
2023-03-26,0.010470929999999998,0,3.13669305,0,18.720453600000393,0
2023-03-27,0.011277809999999985,0.00019000999999999998,1.1433491900000008,0,22.00173765000016,0
2023-03-28,0.02423445999999996,0.00019623,1.102222599999999,0,26.888315440000188,0
2023-03-29,0.02088014999999995,0,1.6756832499999987,0,25.838127160000152,0
2023-03-30,0.006533229999999997,0.0002388,1.9210699199999994,0,25.59666699000052,0
2023-03-31,0.03065474000000006,0,0.7120855099999995,0,31.804100849999923,0
2023-04-01,0.2115783200000007,0,1.3682877300000051,0,29.94362699000015,0
2023-04-02,1.7163831200000497,3.6e-05,1.4227338300000139,0,21.328038679999825,0
2023-04-03,0.5774810700000064,0,0.6988985699999957,0,26.42877681000024,0
2023-04-04,1.1614180100000109,0.00011726,1.101094480000012,0,31.568124499999726,0
2023-04-05,0.40810122999999365,9.183e-05,1.7054157300000115,0,29.93956001999985,0
2023-04-06,0.15648488999999985,5.434e-05,1.8101051300000037,0,30.951488470000214,0
2023-04-07,0.39612215000000206,0.00012762,1.832591429999985,0,24.783541510000244,0
2023-04-08,0.24221306000000267,0,3.379263919999989,0,18.27406770000033,0
2023-04-09,0.20302020000000195,8.597e-05,1.2146136400000132,0,15.489051589999978,0
2023-04-10,0.06756285000000015,0.00117902,0.45407021999999797,0,21.251761849999987,0
