"DateTime","x402 - Transactions","x402 - Buyers"
"2026-03-29 00:00:00",51819,1529
"2026-04-05 00:00:00",391965,1974.142857142857
"2026-04-12 00:00:00",612510,2128.8571428571427
"2026-04-19 00:00:00",614364,6368.142857142857
"2026-04-26 00:00:00",855941,9649.57142857143
"2026-05-03 00:00:00",816873,10167.714285714286
"2026-05-10 00:00:00",823955,9728.857142857143
"2026-05-17 00:00:00",1054859,12641.142857142857
"2026-05-24 00:00:00",923553,9403.285714285714
"2026-05-31 00:00:00",773897,7576
"2026-06-07 00:00:00",1062324,8551.57142857143
"2026-06-14 00:00:00",2204341,7856.571428571428
"2026-06-21 00:00:00",4434446,9359.142857142857
