month,assetType,volumeByAssetType,platformFeesByAssetType,totalVolumeInBillions,totalFeesInMillions,last30DayVolumeInBillions,last30DayRevenueInMillions,last30DayVolumeTokenTradingInMillions
2026-08-01 00:00:00.000 UTC,NFT Marketplace,37097755.557467505,409755.9459077801,48.914150242365714,1014.6418520000319,0.05697471484855677,0.5737408600592666,19.87695929108927
2026-08-01 00:00:00.000 UTC,Token Trading,19876959.29108927,163984.91415148648,48.914150242365714,1014.6418520000319,0.05697471484855677,0.5737408600592666,19.87695929108927
2026-07-01 00:00:00.000 UTC,NFT Marketplace,26339843.547141027,327631.4180424406,48.914150242365714,1014.6418520000319,0.04287959570068803,0.46408437330920344,16.539752153547
2026-07-01 00:00:00.000 UTC,Token Trading,16539752.153547,136452.95526676282,48.914150242365714,1014.6418520000319,0.04287959570068803,0.46408437330920344,16.539752153547
2026-06-01 00:00:00.000 UTC,NFT Marketplace,32715057.360516414,409133.0893802165,48.914150242365714,1014.6418520000319,0.05704757597046172,0.6098763679122653,24.332518609945303
2026-06-01 00:00:00.000 UTC,Token Trading,24332518.609945305,200743.27853204877,48.914150242365714,1014.6418520000319,0.05704757597046172,0.6098763679122653,24.332518609945303
2026-05-01 00:00:00.000 UTC,NFT Marketplace,52335738.93880227,657829.6594952076,48.914150242365714,1014.6418520000319,0.16162024497723823,1.5594268343123039,109.28450603843596
2026-05-01 00:00:00.000 UTC,Token Trading,109284506.03843597,901597.1748170962,48.914150242365714,1014.6418520000319,0.16162024497723823,1.5594268343123039,109.28450603843596
2026-04-01 00:00:00.000 UTC,Token Trading,45846257.72542871,378231.6262347867,48.914150242365714,1014.6418520000319,0.08013451185828825,0.7600083411613321,45.84625772542871
2026-04-01 00:00:00.000 UTC,NFT Marketplace,34288254.13285956,381776.7149265454,48.914150242365714,1014.6418520000319,0.08013451185828825,0.7600083411613321,45.84625772542871
2026-03-01 00:00:00.000 UTC,NFT Marketplace,33400312.8535026,420550.04390693974,48.914150242365714,1014.6418520000319,0.5981249395101665,5.182445352627801,522.2422336654773
2026-03-01 00:00:00.000 UTC,Token Trading,152469173.2166756,1257870.679037576,48.914150242365714,1014.6418520000319,0.5981249395101665,5.182445352627801,522.2422336654773
2026-02-01 00:00:00.000 UTC,NFT Marketplace,42482392.99118658,453396.8809806769,48.914150242365714,1014.6418520000319,0.41225545343998826,3.504024629683285,369.7730604488017
2026-02-01 00:00:00.000 UTC,Token Trading,369773060.4488017,3050627.748702608,48.914150242365714,1014.6418520000319,0.41225545343998826,3.504024629683285,369.7730604488017
2026-01-01 00:00:00.000 UTC,Token Trading,758922612.8097745,6261111.555680621,48.914150242365714,1014.6418520000319,0.8422507996392243,7.123600689293485,758.9226128097745
2026-01-01 00:00:00.000 UTC,NFT Marketplace,83328186.8294498,862489.1336128633,48.914150242365714,1014.6418520000319,0.8422507996392243,7.123600689293485,758.9226128097745
2025-12-01 00:00:00.000 UTC,NFT Marketplace,105185895.90478112,898306.5520261879,48.914150242365714,1014.6418520000319,0.6813070146183646,5.651305781413245,576.1211187135834
2025-12-01 00:00:00.000 UTC,Token Trading,576121118.7135835,4752999.229387057,48.914150242365714,1014.6418520000319,0.6813070146183646,5.651305781413245,576.1211187135834
2025-11-01 00:00:00.000 UTC,NFT Marketplace,108201143.31422207,1231682.0409960183,48.914150242365714,1014.6418520000319,0.7868288702352046,6.8303607880941275,678.6277269209826
2025-11-01 00:00:00.000 UTC,Token Trading,678627726.9209826,5598678.747098109,48.914150242365714,1014.6418520000319,0.7868288702352046,6.8303607880941275,678.6277269209826
2025-10-01 00:00:00.000 UTC,NFT Marketplace,428240190.4027699,4691899.951277126,48.914150242365714,1014.6418520000319,3.3447167258618706,28.75283136881504,2916.476535459101
2025-10-01 00:00:00.000 UTC,Token Trading,2916476535.4591007,24060931.417537916,48.914150242365714,1014.6418520000319,3.3447167258618706,28.75283136881504,2916.476535459101
2025-09-01 00:00:00.000 UTC,NFT Marketplace,295503216.623708,2763236.8034528377,48.914150242365714,1014.6418520000319,0.8520609862629387,7.354838402976483,556.5577696392307
2025-09-01 00:00:00.000 UTC,Token Trading,556557769.6392307,4591601.599523646,48.914150242365714,1014.6418520000319,0.8520609862629387,7.354838402976483,556.5577696392307
