"DateTime","x402 - Transactions","x402 - Buyers"
"2026-03-29 00:00:00",51819,1529
"2026-03-30 00:00:00",52313,1683
"2026-03-31 00:00:00",42850,2059
"2026-04-01 00:00:00",68074,2343
"2026-04-02 00:00:00",56878,2300
"2026-04-03 00:00:00",64637,1949
"2026-04-04 00:00:00",57795,1876
"2026-04-05 00:00:00",49418,1609
"2026-04-06 00:00:00",89111,2486
"2026-04-07 00:00:00",67441,2091
"2026-04-08 00:00:00",98182,2295
"2026-04-09 00:00:00",95640,1946
"2026-04-10 00:00:00",93406,1882
"2026-04-11 00:00:00",79658,1893
"2026-04-12 00:00:00",89072,2309
"2026-04-13 00:00:00",83566,2344
"2026-04-14 00:00:00",78190,2702
"2026-04-15 00:00:00",73554,4310
"2026-04-16 00:00:00",81356,8636
"2026-04-17 00:00:00",87805,8768
"2026-04-18 00:00:00",108627,8960
"2026-04-19 00:00:00",101266,8857
"2026-04-20 00:00:00",111553,9451
"2026-04-21 00:00:00",104347,10466
"2026-04-22 00:00:00",159943,10904
"2026-04-23 00:00:00",108565,11183
"2026-04-24 00:00:00",178501,7725
"2026-04-25 00:00:00",79851,8463
"2026-04-26 00:00:00",113181,9355
"2026-04-27 00:00:00",121516,8332
"2026-04-28 00:00:00",109176,9977
"2026-04-29 00:00:00",109367,8934
"2026-04-30 00:00:00",119435,11018
"2026-05-01 00:00:00",124720,12099
"2026-05-02 00:00:00",107102,10490
"2026-05-03 00:00:00",125557,10324
"2026-05-04 00:00:00",140956,10628
"2026-05-05 00:00:00",124567,10844
"2026-05-06 00:00:00",135491,9178
"2026-05-07 00:00:00",112804,10340
"2026-05-08 00:00:00",114507,9528
"2026-05-09 00:00:00",104688,9699
"2026-05-10 00:00:00",90942,7885
"2026-05-11 00:00:00",108684,11252
"2026-05-12 00:00:00",150079,14494
"2026-05-13 00:00:00",169786,11725
"2026-05-14 00:00:00",135570,21364
"2026-05-15 00:00:00",162945,10650
"2026-05-16 00:00:00",188421,9883
"2026-05-17 00:00:00",139374,9120
"2026-05-18 00:00:00",168793,10615
"2026-05-19 00:00:00",137083,10797
"2026-05-20 00:00:00",161027,10342
"2026-05-21 00:00:00",136113,9880
"2026-05-22 00:00:00",119174,9528
"2026-05-23 00:00:00",96208,6575
"2026-05-24 00:00:00",105155,8086
"2026-05-25 00:00:00",109823,10290
"2026-05-26 00:00:00",120960,8845
"2026-05-27 00:00:00",115993,7976
"2026-05-28 00:00:00",107819,4268
"2026-05-29 00:00:00",100428,5810
"2026-05-30 00:00:00",114932,10447
"2026-05-31 00:00:00",103942,5396
"2026-06-01 00:00:00",154518,9777
"2026-06-02 00:00:00",151537,10414
"2026-06-03 00:00:00",119706,11566
"2026-06-04 00:00:00",150926,6383
"2026-06-05 00:00:00",170839,8333
"2026-06-06 00:00:00",151918,6357
"2026-06-07 00:00:00",162880,7031
"2026-06-08 00:00:00",201337,8458
"2026-06-09 00:00:00",440826,6370
"2026-06-10 00:00:00",673184,8079
"2026-06-11 00:00:00",352723,10989
"2026-06-12 00:00:00",215032,8312
"2026-06-13 00:00:00",152882,6784
"2026-06-14 00:00:00",168357,6004
"2026-06-15 00:00:00",243684,12644
"2026-06-16 00:00:00",835758,6544
"2026-06-17 00:00:00",1007758,15886
"2026-06-18 00:00:00",841689,9226
"2026-06-19 00:00:00",627494,8930
"2026-06-20 00:00:00",458721,6698
"2026-06-21 00:00:00",419342,5586
"2026-06-22 00:00:00",649677,6079
"2026-06-23 00:00:00",430514,6221
"2026-06-24 00:00:00",629299,4208
"2026-06-25 00:00:00",145596,1087
"2026-06-26 00:00:00",0,0
"2026-06-27 00:00:00",0,0
