date,xyz_share_all,xyz_share_q1peers,total_usd_all,xyz_usd,hhi_all,runner_up,runner_up_share,active_namespaces
2026-02-01,0.7549728584912963,0.7549728584912963,572206942.7024664,432000711.1806464,5929.9387063454615,cash,0.1331304010681145,6
2026-02-02,0.8309305664526823,0.8309305664526823,3497482624.9994216,2906165218.7491837,7039.731162889987,cash,0.1114744202346998,6
2026-02-03,0.8268577784663437,0.8268577784663437,2764670754.5545115,2285989518.3018136,6918.791231005171,cash,0.0669421822599761,6
2026-02-04,0.8742019218503819,0.8742019218503819,2646761457.1607175,2313803952.529417,7689.954206454467,cash,0.0571234526369813,6
2026-02-05,0.8958346911892955,0.8958346911892955,5176265508.328246,4637078213.167036,8069.368670112005,cash,0.0619644258995053,6
2026-02-06,0.8539187647499825,0.8539187647499825,3076801015.24319,2627338122.317957,7386.633447553687,cash,0.0921751672806861,6
2026-02-07,0.622201906368675,0.622201906368675,154001934.47894594,95820297.21726394,4444.240170180416,hyna,0.219921716745391,6
2026-02-08,0.7752945005145264,0.7752945005145264,268944613.66911405,208511279.92066807,6163.8316910718795,cash,0.0925462038666416,6
2026-02-09,0.8317834550300819,0.8317834550300819,1365961363.075831,1136184062.0168147,7037.467498253326,cash,0.1030188968462266,6
2026-02-10,0.7993741843595161,0.7993741843595161,1122610273.887717,897385672.0426068,6597.796256967798,cash,0.1406162354470256,6
2026-02-11,0.7943502117197085,0.7943502117197085,1385208121.7465384,1100340364.7852223,6504.825383437236,cash,0.1338017300199345,6
2026-02-12,0.8142312903986975,0.8142312903986975,1815646192.2595325,1478355942.0309606,6790.932274521322,cash,0.1221477381664878,6
2026-02-13,0.7810247258485816,0.7810247258485816,1463905926.9119887,1143346725.2345498,6342.802457363202,cash,0.15063422797304,6
2026-02-14,0.6057096019533204,0.6057096019533204,111040475.146835,67258282.00189699,4138.482859052113,hyna,0.1557991645825384,6
