hour_ts_utc,Trade[XYZ],Binance,OKX,Aster,Lighter,Ventuals
2026-06-03 00:00:00+00:00,189.84586274635114,188.28997112914544,184.73118608605836,188.4942453955538,171.06842614410704,160.604182425882
2026-06-03 01:00:00+00:00,190.23646688880243,188.85674095660931,185.5074480775314,189.1825402719596,173.31804281345563,159.44482007551298
2026-06-03 02:00:00+00:00,191.03400548346903,189.57739587428674,186.19277997010238,189.88500013165867,173.7767584097859,159.37790048323365
2026-06-03 03:00:00+00:00,188.73426635617443,187.68391268937268,184.69697187309595,188.0628988258133,171.30733944954127,160.8749648453856
2026-06-03 04:00:00+00:00,189.86176331693125,188.86176594217653,185.80228752738196,189.1127792179165,173.2110091743119,162.38623524079844
2026-06-03 05:00:00+00:00,191.2990402435152,190.28650231301964,186.9516815617073,190.37359678233565,174.81651376146786,163.89301055384996
2026-06-03 06:00:00+00:00,193.32513941161417,192.3837121800904,188.83756321310204,192.56999999999996,175.25229357798165,164.5881390912021
2026-06-03 07:00:00+00:00,193.38920557649473,192.42439955163894,188.1521036398319,192.26,176.78156463773888,164.3960244648318
2026-06-03 08:00:00+00:00,192.9093810042306,192.0999532356204,187.62385721263286,192.49426702275483,,166.31119977248554
2026-06-03 09:00:00+00:00,193.00293481379884,191.9834753698575,187.0709817603817,192.21611292903907,,165.18454496760194
2026-06-03 10:00:00+00:00,190.12540741985072,189.49965757566855,185.62616165595892,189.70604544568602,173.3798558483707,164.07016921925054
2026-06-03 11:00:00+00:00,190.31015135312367,189.31066745415615,185.5961964790751,188.97040749494548,173.4709480122324,165.28423147313558
2026-06-03 12:00:00+00:00,188.84477055583343,188.0921787494102,184.34084449632826,187.50655251662047,170.27522935779814,163.91883291031778
2026-06-03 13:00:00+00:00,188.96464065012674,188.06523671258492,184.39571449001426,188.33803027157302,171.24451021063592,164.78147660794002
2026-06-03 14:00:00+00:00,190.93079662240717,190.0213727165886,186.5689738532611,190.67180054942574,173.3562691131498,164.3577981651376
2026-06-03 15:00:00+00:00,191.0733662449495,190.21182275530114,187.0058904769608,190.36860098777777,173.3295107033639,164.22056247063304
2026-06-03 16:00:00+00:00,188.90592586281207,188.19117942053043,184.72844817152475,188.31100100365884,171.5562209117509,163.50079218723153
2026-06-03 17:00:00+00:00,187.06558144109934,186.48368741192365,183.16338822736384,186.85300910341286,171.23853211009174,162.36445445400744
2026-06-03 18:00:00+00:00,188.20668227689447,187.44274772945752,183.86344181831936,187.54011997440546,170.59250764525996,161.56055245702373
2026-06-03 19:00:00+00:00,189.13389334856765,188.35606807891486,184.68564060049823,188.59,172.75229357798165,161.26146788990826
2026-06-03 20:00:00+00:00,189.00341562143717,188.45094544069752,185.07226095163116,188.3851251326239,171.15825688073394,160.78816516798184
2026-06-03 21:00:00+00:00,187.23109497513536,186.77804004044333,183.04875971462732,187.39,170.80657492354737,159.09458688400048
2026-06-03 22:00:00+00:00,187.17260158473962,186.69784782832664,183.07033244301613,186.81412412468092,171.10091743119264,159.12844036697248
2026-06-03 23:00:00+00:00,186.65380525849054,186.10034640851597,182.57884387517134,186.49,171.10091743119264,159.46039985884238
2026-06-04 00:00:00+00:00,188.84734283749145,188.15038147363143,184.44405041179752,188.3650597007005,171.71253822629967,159.04051987767582
2026-06-04 01:00:00+00:00,186.97210043909547,186.4406389738837,183.11897270971826,186.89070164251063,,157.9167842662477
